City,Province,url,ID
阿坝藏族羌族自治州,四川省,http://www.hotelaah.com/sichuan/index.html,1
阿克苏地区,新疆维吾尔自治区,http://www.hotelaah.com/xinjiang/index.html,2
阿拉善盟,内蒙古自治区,http://www.hotelaah.com/neimenggu/index.html,3
阿勒泰地区,新疆维吾尔自治区,http://www.hotelaah.com/xinjiang/index.html,4
阿里地区,西藏自治区,http://www.hotelaah.com/xizang/index.html,5
安康市,陕西省,http://www.hotelaah.com/shannxi/index.html,6
安庆市,安徽省,http://www.hotelaah.com/anhui/index.html,7
安顺市,贵州省,http://www.hotelaah.com/guizhou/index.html,8
安阳市,河南省,http://www.hotelaah.com/henan/index.html,9
鞍山市,辽宁省,http://www.hotelaah.com/liaoning/index.html,10
巴彦淖尔市,内蒙古自治区,http://www.hotelaah.com/neimenggu/index.html,11
巴音郭楞蒙古自治州,新疆维吾尔自治区,http://www.hotelaah.com/xinjiang/index.html,12
巴中市,四川省,http://www.hotelaah.com/sichuan/index.html,13
白城市,吉林省,http://www.hotelaah.com/jilin/index.html,14
白山市,吉林省,http://www.hotelaah.com/jilin/index.html,15
白银市,甘肃省,http://www.hotelaah.com/gansu/index.html,16
百色市,广西壮族自治区,http://www.hotelaah.com/guangxi/index.html,17
蚌埠市,安徽省,http://www.hotelaah.com/anhui/index.html,18
包头市,内蒙古自治区,http://www.hotelaah.com/neimenggu/index.html,19
宝鸡市,陕西省,http://www.hotelaah.com/shannxi/index.html,20
保定市,河北省,http://www.hotelaah.com/hebei/index.html,21
保山市,云南省,http://www.hotelaah.com/yunnan/index.html,22
北海市,广西壮族自治区,http://www.hotelaah.com/guangxi/index.html,23
本溪市,辽宁省,http://www.hotelaah.com/liaoning/index.html,24
毕节地区,贵州省,http://www.hotelaah.com/guizhou/index.html,25
滨州市,山东省,http://www.hotelaah.com/shandong/index.html,26
博尔塔拉蒙古自治州,新疆维吾尔自治区,http://www.hotelaah.com/xinjiang/index.html,27
沧州市,河北省,http://www.hotelaah.com/hebei/index.html,28
昌都地区,西藏自治区,http://www.hotelaah.com/xizang/index.html,29
昌吉回族自治州,新疆维吾尔自治区,http://www.hotelaah.com/xinjiang/index.html,30
长春市,吉林省,http://www.hotelaah.com/jilin/index.html,31
长沙市,湖南省,http://www.hotelaah.com/hunan/index.html,32
长治市,山西省,http://www.hotelaah.com/shanxi/index.html,33
常德市,湖南省,http://www.hotelaah.com/hunan/index.html,34
常州市,江苏省,http://www.hotelaah.com/jiangsu/index.html,35
巢湖市,安徽省,http://www.hotelaah.com/anhui/index.html,36
朝阳市,辽宁省,http://www.hotelaah.com/liaoning/index.html,37
潮州市,广东省,http://www.hotelaah.com/guangdong/index.html,38
郴州市,湖南省,http://www.hotelaah.com/hunan/index.html,39
成都市,四川省,http://www.hotelaah.com/sichuan/index.html,40
承德市,河北省,http://www.hotelaah.com/hebei/index.html,41
池州市,安徽省,http://www.hotelaah.com/anhui/index.html,42
赤峰市,内蒙古自治区,http://www.hotelaah.com/neimenggu/index.html,43
崇左市,广西壮族自治区,http://www.hotelaah.com/guangxi/index.html,44
滁州市,安徽省,http://www.hotelaah.com/anhui/index.html,45
楚雄彝族自治州,云南省,http://www.hotelaah.com/yunnan/index.html,46
达州市,四川省,http://www.hotelaah.com/sichuan/index.html,47
大理白族自治州,云南省,http://www.hotelaah.com/yunnan/index.html,48
大连市,辽宁省,http://www.hotelaah.com/liaoning/index.html,49
大庆市,黑龙江省,http://www.hotelaah.com/heilongjiang/index.html,50
大同市,山西省,http://www.hotelaah.com/shanxi/index.html,51
