,FID,area,count,lng,lat,NEAR_FID,NEAR_DIST,FID_1,OBJECTID,osm_id,code,fclass,name,ref,oneway,maxspeed,layer,bridge,tunnel,分类,Shape_Leng,BertGridJoinLabel,POINUM,POITYPE,roadclass,POINUMtrans,counttrans
0,0,文化大道谭鑫培路口,16,114.313311412,30.410548097399996,5641,0.025530308421800003,5641,6396,457652868,5121,unclassified, , ,B,0,0.0,F,F,城市支路,443.98703884099996,4,1,Class-1,3,-0.1432770429526107,0.0017744685292787321
1,1,纱帽街老车站,4,114.079287819,30.330352922600003,5261,0.12085205298900001,5261,5902,454908132,5113,primary,武金堤,S102,B,0,0.0,F,F,城市主干道,4472.18840673,0,11,Class12,5,-0.1388865781179233,-0.07755471277965277
2,2,雄楚大道公安厅门前辅道（石牌岭西路至丁字桥螺口方向）,1,114.328135553,30.5331279272,3116,0.000293889266905,3116,3485,231521436,5114,secondary,丁字桥路, ,F,0,0.0,F,F,城市主干道,345.27016514800005,629,988,Class-1,5,0.29006183623104015,-0.09738700810688564
3,3,江夏区纸坊城区,8,114.32353844200001,30.3675583679,5641,0.0679483703082,5641,6396,457652868,5121,unclassified, , ,B,0,0.0,F,F,城市支路,443.98703884099996,0,11,Class12,3,-0.1388865781179233,-0.05111165234334227
4,4,平大道下桥处德成长江国际门口段,12,114.302226962,30.4603074236,3503,6.9096879162e-05,3503,3889,231808168,5114,secondary,南李路, ,F,0,0.0,F,F,城市主干道,2894.78647987,2,27,Class-1,5,-0.13186183438242335,-0.02466859190703177
5,5,东湖景园路段,10,114.369575369,30.584306978,5529,0.0015426898504600002,5529,6268,456583419,5114,secondary, , ,F,0,0.0,F,F,城市主干道,1187.1816416499996,1201,175,Class5,5,-0.06688295482904916,-0.03789012212518702
6,6,汉阳区四新北路红星美凯龙门口,24,114.24036581200001,30.514680308600003,3602,4.4714483653999994e-05,3602,4005,233478900,5114,secondary,鹦鹉大道, ,B,0,0.0,F,F,城市主干道,6092.375444009999,396,55,Class-1,5,-0.11956853284529852,0.05466058940189973
7,7,风景区二环线东湖景园路段,10,114.369575369,30.584306978,5529,0.0015426898504600002,5529,6268,456583419,5114,secondary, , ,F,0,0.0,F,F,城市主干道,1187.1816416499996,1201,175,Class5,5,-0.06688295482904916,-0.03789012212518702
8,8,紫阳东路东安路口,10,114.313580754,30.5291261787,3139,6.576168712e-06,3139,3508,231522780,5115,tertiary,东安路, ,B,0,0.0,F,F,城市次干道,166.705176642,569,618,Class-1,2,0.12761463734760467,-0.03789012212518702
9,9,建设大道延长线与和谐大道交汇处,20,114.29819734799999,30.645682395100003,5382,0.00011337148459,5382,6070,456043539,5114,secondary,兴业路, ,F,0,0.0,F,F,城市主干道,2909.96617401,1793,358,Class4,5,0.013462551645731088,0.028217528965589232
10,10,东湖路,3,114.32364045700001,30.3672834694,5641,0.068229183504,5641,6396,457652868,5121,unclassified, , ,B,0,0.0,F,F,城市支路,443.98703884099996,0,11,Class12,3,-0.1388865781179233,-0.0841654778887304
11,11,东彭路尤庙涵洞,7,114.45778812200001,30.548230494299997,5834,0.0024687908291999997,5834,6606,458084201,5121,unclassified, , ,B,0,0.0,F,F,城市支路,1736.12582753,768,4,Class-1,3,-0.1419599035022045,-0.0577224174524199
12,12,硚口区知音桥桥面,10,114.21369207,30.578503931799997,2391,0.0019290941054899999,2391,2715,177261200,5114,secondary,沿河大道, ,F,0,0.0,F,F,城市主干道,5353.2554275,1115,60,Class-1,5,-0.11737330042795478,-0.03789012212518702
13,13,琴台大道古田桥,20,114.218021111,30.5709904146,1455,1.011792313e-05,1455,1622,116184473,5113,primary,琴台大道, ,F,0,0.0,F,F,城市主干道,3061.95014715,1061,212,Class29,5,-0.050638234940705615,0.028217528965589232
14,14,琴台大道郭茨口邮局门口,20,114.20865283399999,30.5716295491,5265,0.0006043338506109999,5265,5908,455183514,5112,trunk,二环线, ,F,0,0.0,F,F,高架及快速路,279.856325755,1059,743,Class29,4,0.18249544778119775,0.028217528965589232
15,15,经开区太子湖北路,49,114.179297779,30.5157487729,196,0.0047514718012500005,196,228,98607111,5115,tertiary, , ,B,0,0.0,F,F,城市次干道,366.416252017,489,4,Class20,2,-0.1419599035022045,0.21992971712884035
16,16,张之洞路首义路口,5,114.304976147,30.537563043600002,3512,0.0010303551355899999,3512,3898,231810585,5114,secondary,首义路, ,B,0,0.0,F,F,城市主干道,860.237792255,682,674,Class5,5,0.15220124042185437,-0.07094394767057514
17,17,四新南路新华园二路,35,114.216563684,30.5121281177,7365,5.0228784973e-05,7365,8416,721828543,5114,secondary, , ,F,0,0.0,F,F,城市主干道,3369.06031046,391,40,Class14,5,-0.12615423009732968,0.12737900560175364
18,18,星光大道工业一路邢远长街,36,114.26732615700001,30.391540129699997,4861,0.0264480938247,4861,5419,364372572,5122,residential, , ,B,0,0.0,F,F,城市支路,570.039343909,0,11,Class12,3,-0.1388865781179233,0.13398977071083124
19,19,汉口部分地区,3,114.248979996,30.6215363627,7595,0.0018645702973999999,7595,8779,765596667,5122,residential, , ,B,0,0.0,F,F,城市支路,245.455205615,1603,286,Class-1,3,-0.01814879516401852,-0.0841654778887304
20,20,东西湖区,6,114.13132186200001,30.6219981812,854,0.013645080124500001,854,978,104679321,5112,trunk,解放大道, ,F,0,0.0,F,F,高架及快速路,480.09183418199996,1533,110,Class-1,4,-0.09542097625451756,-0.06433318256149752
21,21,虎泉街保利华都,165,114.37858905700001,30.5108542598,2237,0.000129499826135,2237,2494,169556485,5122,residential, , ,B,0,0.0,F,F,城市支路,493.971693469,423,146,Class-1,3,-0.07961530284964276,0.9867784697818447
22,22,江夏区江夏大道信息传播学院门口,5,114.368547882,30.4059961413,5572,0.0560948567955,5572,6319,457305471,5121,unclassified, , ,F,0,0.0,F,F,城市支路,29.325387840700003,15,27,Class-1,3,-0.13186183438242335,-0.07094394767057514
23,23,洪山路省政府往东一路,7,114.409219385,30.5163273431,657,2.4592955367e-05,657,759,103806241,5121,unclassified, , ,B,0,0.0,F,F,城市支路,619.512502662,480,582,Class-1,3,0.11180896394272988,-0.0577224174524199
24,24,江夏大道中国税务门口,8,114.79214451200001,30.847768765399998,4479,0.32042377730300003,4479,4912,300389310,5121,unclassified, , ,B,0,0.0,F,F,城市支路,17635.1966673,0,11,Class12,3,-0.1388865781179233,-0.05111165234334227
25,25,雄楚大道公安厅门前辅道（石牌岭西路至丁字桥螺口方向）,7,114.324689678,30.528302602800004,3123,0.0006441368160240001,3123,3492,231521444,5121,unclassified, , ,B,0,0.0,F,F,城市支路,647.4294380710002,572,497,Class16,3,0.07449001284788657,-0.0577224174524199
